code,name,description,refreshed_at,from_date,to_date
BOM538433,Classic Global Finance & Capital Ltd EOD Prices,End of Day prices and additional trading information for Classic Global Finance & Capital Ltd EOD Prices.,14-05-2021 14:19,10-06-2014,14-05-2021
BOM538446,Moneyboxx Finance Ltd EOD Prices,End of Day prices and additional trading information for Moneyboxx Finance Ltd EOD Prices.,14-05-2021 14:19,11-06-2014,14-05-2021
BOM538450,Dhyana Finstock Ltd EOD Prices,End of Day prices and additional trading information for Dhyana Finstock Ltd EOD Prices.,14-05-2021 14:19,13-06-2014,23-12-2015
BOM538451,Worth Investment & Trading Co Ltd EOD Prices,End of Day prices and additional trading information for Worth Investment & Trading Co Ltd EOD Prices.,14-05-2021 14:19,12-06-2014,26-10-2020
BOM538452,Quasar India Ltd EOD Prices,End of Day prices and additional trading information for Quasar India Ltd EOD Prices.,14-05-2021 14:19,27-04-2020,12-05-2021
BOM538464,Thirani Projects Ltd EOD Prices,End of Day prices and additional trading information for Thirani Projects Ltd EOD Prices.,14-05-2021 14:19,27-12-2017,14-05-2021
BOM538465,Amarnath Securities Ltd EOD Prices,End of Day prices and additional trading information for Amarnath Securities Ltd EOD Prices.,14-05-2021 14:19,19-06-2014,26-04-2021
BOM538476,Capital Trade Links Ltd EOD Prices,End of Day prices and additional trading information for Capital Trade Links Ltd EOD Prices.,14-05-2021 14:19,20-06-2014,14-05-2021
BOM538496,Tarini International Ltd EOD Prices,End of Day prices and additional trading information for Tarini International Ltd EOD Prices.,14-05-2021 14:19,26-06-2014,05-05-2021
BOM538501,ICICI Prudential Growth Fund Series 1 (Regular Dividend Payout) EOD Prices,End of Day prices and additional trading information for ICICI Prudential Growth Fund Series 1 (Regular Dividend Payout) EOD Prices.,14-05-2021 14:19,14-02-2017,20-11-2020
BOM538502,Icici Prudential Growth Fund Series 1 (direct Dividend Option) EOD Prices,End of Day prices and additional trading information for Icici Prudential Growth Fund Series 1 (direct Dividend Option) EOD Prices.,,,
BOM538504,Creative Merchants Ltd EOD Prices,End of Day prices and additional trading information for Creative Merchants Ltd EOD Prices.,14-05-2021 14:19,02-07-2014,23-12-2015
BOM538520,Shivamshree Businesses Ltd EOD Prices,End of Day prices and additional trading information for Shivamshree Businesses Ltd EOD Prices.,14-05-2021 14:19,04-07-2014,22-10-2018
BOM538521,Crown Tours Ltd EOD Prices,End of Day prices and additional trading information for Crown Tours Ltd EOD Prices.,14-05-2021 14:19,04-07-2014,14-05-2021
BOM538537,Omansh Enterprises Ltd EOD Prices,End of Day prices and additional trading information for Omansh Enterprises Ltd EOD Prices.,14-05-2021 14:19,11-07-2014,14-05-2021
BOM538539,J. Taparia Projects Ltd EOD Prices,End of Day prices and additional trading information for J. Taparia Projects Ltd EOD Prices.,14-05-2021 14:19,14-03-2016,14-05-2021
BOM538540,Ramchandra Leasing & Finance Ltd EOD Prices,End of Day prices and additional trading information for Ramchandra Leasing & Finance Ltd EOD Prices.,14-05-2021 14:19,11-07-2014,14-05-2021
BOM538542,Gold Coin Health Foods Ltd EOD Prices,End of Day prices and additional trading information for Gold Coin Health Foods Ltd EOD Prices.,14-05-2021 14:19,11-07-2014,14-05-2021
BOM538546,Bansal Roofing Products Ltd EOD Prices,End of Day prices and additional trading information for Bansal Roofing Products Ltd EOD Prices.,14-05-2021 14:19,14-07-2014,14-05-2021
