ticker,issuer_name
BANKRAJAS,Bank of Rajasthan Ltd. (EQBANKRAJAS)
BANSWRAS,Banswara Syntex Ltd. (EQBANSWRAS)
BARTRONICS,Bartronics India Ltd. (EQBARTRONICS)
BASF,BASF India Ltd. (EQBASF)
BASML,Bannari Amman Spinning Mills Ltd. (EQBASML)
BATAINDIA,Bata India Ltd. (EQBATAINDIA)
BATLIBOI,Batliboi Ltd. (EQBATLIBOI)
BAYERCROP,Bayer CropScience Ltd. (EQBAYERCROP)
BBL,Bharat Bijlee Ltd. (EQBBL)
BBTC,Bombay Burmah Trading Corporation Ltd. (EQBBTC)
BCG,Brightcom Group Ltd. (EQBCG)
BCLIND,BCL Industries Ltd. (EQBCLIND)
BCP,B.C. Power Controls Ltd (EQBCP)
BDL,Bharat Dynamics Ltd. (EQBDL)
BEARDSELL,Beardsell Ltd. (EQBEARDSELL)
BECREL,Best & Crompton Engg. Ltd. (EQBECREL)
BECTORFOOD,Mrs. Bectors Food Specialities Ltd. (EQBECTORFOOD)
BEDMUTHA,Bedmutha Industries Ltd (EQBEDMUTHA)
BEL,Bharat Electronics Ltd. (EQBEL)
BELLCERATL,Bell Ceramics Ltd. (EQBELLCERATL)
BEML,BEML Ltd. (EQBEML)
BEPL,Bhansali Engineering Polymers Ltd. (EQBEPL)
BERGEPAINT,Berger Paints India Ltd. (EQBERGEPAINT)
BESTAGRO,Best Agrolife Ltd. (EQBESTAGRO)
BFINVEST,BF Investment Ltd (EQBFINVEST)
BFUTILITIE,BF Utilities Ltd. (EQBFUTILITIE)
BGLOBAL,Bharatiya Global Infomedia Ltd (EQBGLOBAL)
BGRENERGY,BGR Energy Systems Ltd (EQBGRENERGY)
BHAGERIA,Bhageria Industries Ltd. (EQBHAGERIA)
BHAGYANGR,Bhagyanagar India Ltd. (EQBHAGYANGR)
BHAGYAPROP,Bhagyanagar Properties Ltd. (EQBHAGYAPROP)
BHANDARI,Bhandari Hosiery Exports Ltd. (EQBHANDARI)
BHARATFIN,Bharat Financial Inclusion Ltd (EQBHARATFIN)
BHARATFORG,Bharat Forge Ltd. (EQBHARATFORG)
BHARATGEAR,Bharat Gears Ltd. (EQBHARATGEAR)
BHARATIDIL,Bharati Defence & Infrastructure Ltd (EQBHARATIDIL)
BHARATRAS,Bharat Rasayan Ltd. (EQBHARATRAS)
BHARATWIRE,Bharat Wire Ropes Ltd. (EQBHARATWIRE)
BHARTIARTL,Bharti Airtel Ltd. (EQBHARTIARTL)
BHEL,Bharat Heavy Electricals Ltd. (EQBHEL)
BIGBLOC,Bigbloc Construction Ltd. (EQBIGBLOC)
BIL,Bhartiya International Ltd. (EQBIL)
BILENERGY,Bil Energy Systems Ltd. (EQBILENERGY)
BILPOWER,Bilpower Ltd. (EQBILPOWER)
BIMETAL,Bimetal Bearings Ltd. (EQBIMETAL)
BINANICEM,Binani Cement Ltd. (EQBINANICEM)
BINANIIND,Binani Industries Ltd. (EQBINANIIND)
BINDALAGRO,Oswal Green Tech Ltd (EQBINDALAGRO)
BIOCON,Biocon (EQBIOCON)
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Ltd. (EQBIOFILCHEM)
BIRLACABLE,Birla Cable Ltd (EQBIRLACABLE)
BIRLACABLE_1,BIRLA CABLE LIMITED (EQBIRLACABLE)
BIRLACORPN,Birla Corporation Ltd. (EQBIRLACORPN)
BIRLACOT,Birla Cotsyn (India) Ltd (EQBIRLACOT)
BIRLAMONEY,Aditya Birla Money Ltd (EQBIRLAMONEY)
BIRLAPOWER,Birla Power Solutions Ltd. (EQBIRLAPOWER)
BIRLATYRE,Birla Tyres Ltd. (EQBIRLATYRE)
BKMINDST,BKM Industries Ltd. (EQBKMINDST)
BL,(BL)
BLAJMERA,(BLAJMERA)
BLBLIMITED,BLB Ltd. (EQBLBLIMITED)
BLISSGVS,Bliss GVS Pharma Ltd. (EQBLISSGVS)
BLKASHYAP,B.L. Kashyap & Sons Ltd. (EQBLKASHYAP)
BLOWPLAST,Blow Plast Ltd. (EQBLOWPLAST)
BLOWPLAST_1,Blow Plast Ltd. (EQBLOWPLAST)
BLS,BLS International Services Ltd (EQBLS)
BLUEBIRD,Blue Bird (India) Ltd. (EQBLUEBIRD)
BLUEBLENDS,Blue Blends (India) Ltd. (EQBLUEBLENDS)
BLUECHIP,Blue Chip India Ltd. (EQBLUECHIP)
BLUECOAST,Blue Coast Hotels Ltd (EQBLUECOAST)
BLUEDART,Blue Dart Express Ltd. (EQBLUEDART)
BLUESTARCO,Blue Star Ltd. (EQBLUESTARCO)
BLUESTINFO,Blue Star Infotech Ltd. (EQBLUESTINFO)
BODALCHEM,Bodal Chemicals Ltd. (EQBODALCHEM)
BODHTREE,Bodhtree Consulting Ltd (EQBODHTREE)
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd. (EQBOMDYEING)
BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd. (EQBONGAIREFN)
BOROLTD,Borosil Ltd. (EQBOROLTD)
BORORENEW,Borosil Renewables Ltd. (EQBORORENEW)
BOSCHCHASY,Bosch Chassis Systems India Ltd. (EQBOSCHCHASY)
BOSCHLTD,Bosch Ltd. (EQBOSCHLTD)
BPCL,Bharat Petroleum Corporation Ltd. (EQBPCL)
BPL,BPL Ltd. (EQBPL)
BPLENGG,BPL Engineering Ltd. (EQBPLENGG)
BRABOURNE,Brabourne Enterprises Ltd (EQBRABOURNE)
BRANDHOUSE,Brandhouse Retails Ltd (EQBRANDHOUSE)
BRFL,Bombay Rayon Fashions Ltd. (EQBRFL)
BRIGADE,Brigade Enterprises Ltd. (EQBRIGADE)
BRITANNIA,Britannia Industries Ltd. (EQBRITANNIA)
BRNL,Bharat Road Network Ltd. (EQBRNL)
BROADCAST,Broadcast Initiatives Ltd. (EQBROADCAST)
BROOKS,Brooks Laboratories Ltd (EQBROOKS)
BSCFAUG08A,BENCHMARK SPLIT CAPFUND-A (EQBSCFAUG08A)
BSCFAUG08B,BENCHMARK SPLIT CAPFUND-B (EQBSCFAUG08B)
BSE,BSE Ltd (EQBSE)
BSELINFRA,BSEL Infrastructure Realty Ltd. (EQBSELINFRA)
BSHSL,Bombay Super Hybrid Seeds Ltd. (EQBSHSL)
BSL,BSL Ltd. (EQBSL)
BSLGOLDETF,Aditya Birla Sun Life AMC Ltd. (EQBSLGOLDETF)
BSLIMITED,BS Ltd. (EQBSLIMITED)
BSLNIFTY,Aditya Birla Sun Life AMC Ltd. (EQBSLNIFTY)
BSLNIFTY_1,BIRLA SL NIFTY ETF - GO (EQBSLNIFTY)
BSOFT,Birlasoft Ltd. (EQBSOFT)
BURGERKING,Burger King India Ltd. (EQBURGERKING)
BURNPUR,Burnpur Cement Ltd. (EQBURNPUR)
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd (EQBUTTERFLY)
BVCL,Barak Valley Cements Ltd. (EQBVCL)
BYKE,Byke Hospitality Ltd (EQBYKE)
BZABGSHIP,(BZABGSHIP)
BZACROPETAL,(BZACROPETAL)
BZAFTEK,(BZAFTEK)
BZAGRODUTCH,(BZAGRODUTCH)
BZAMTEKAUTO,(BZAMTEKAUTO)
BZARVINDREM,(BZARVINDREM)
BZASIANELEC,(BZASIANELEC)
BZATLASCYCLE,(BZATLASCYCLE)
BZAUSTRAL,(BZAUSTRAL)
BZBHARATIDIL,(BZBHARATIDIL)
BZBHARTISHIP,(BZBHARTISHIP)
BZBILPOWER,(BZBILPOWER)
BZBIRLAPOWER,(BZBIRLAPOWER)
BZBRANDHOUSE,(BZBRANDHOUSE)
BZBROADCAST,(BZBROADCAST)
BZBSLIMITED,(BZBSLIMITED)
BZCALSOFT,(BZCALSOFT)
BZCLASSIC,(BZCLASSIC)
BZCLUTCHAUTO,(BZCLUTCHAUTO)
BZCMAHENDRA,(BZCMAHENDRA)
BZCOREEDUTEC,(BZCOREEDUTEC)
BZCRESTANI,CREST ANIMATION STUDIOS L (BZCRESTANI)
BZDIAPOWER,(BZDIAPOWER)
BZDUNCANSLTD,(BZDUNCANSLTD)
BZEASUNREYRL,(BZEASUNREYRL)
BZEDUCOMP,(BZEDUCOMP)
BZELDERPHARM,(BZELDERPHARM)
BZENTEGRA,(BZENTEGRA)
BZERAINFRA,(BZERAINFRA)
BZESSDEE,(BZESSDEE)
BZFARMAXIND,(BZFARMAXIND)
BZFEDDERELEC,(BZFEDDERELEC)
BZFIRSTLEASE,(BZFIRSTLEASE)
BZFIRSTWIN,(BZFIRSTWIN)
BZGAMMONIND,(BZGAMMONIND)
BZGANGOTRI,(BZGANGOTRI)
BZGEINDSYS,(BZGEINDSYS)
BZGEMINI,(BZGEMINI)
BZGITANJALI,(BZGITANJALI)
BZGLODYNE,(BZGLODYNE)
BZGOENKA,(BZGOENKA)
BZHELIOSMATH,(BZHELIOSMATH)
BZHMT,(BZHMT)
BZINDUSFILA,(BZINDUSFILA)
BZINNOIND,(BZINNOIND)
BZJHS,(BZJHS)
BZJINDCOT,(BZJINDCOT)
BZJUMBO,JUMBO BAG LTD (BZJUMBO)
BZJVLAGRO,(BZJVLAGRO)
BZJYOTISTRUC,(BZJYOTISTRUC)
BZKEMROCK,(BZKEMROCK)
BZKERNEX,(BZKERNEX)
BZKESORAMIND,(BZKESORAMIND)
BZKFA,(BZKFA)
BZKITPLYIND,(BZKITPLYIND)
BZKOPDRUGS,(BZKOPDRUGS)
BZKRISHNAENG,(BZKRISHNAENG)
BZLAKPRE,(BZLAKPRE)
BZLAKSHMIEFL,(BZLAKSHMIEFL)
BZLCCINFOTEC,(BZLCCINFOTEC)
BZLUMAXAUTO,(BZLUMAXAUTO)
BZMALWACOTT,(BZMALWACOTT)
BZMANDHANA,(BZMANDHANA)
BZMOSERBAER,(BZMOSERBAER)
BZMURLIIND,(BZMURLIIND)
BZNAKODA,(BZNAKODA)
BZNATNLSTEEL,(BZNATNLSTEEL)
BZNCOPPER,(BZNCOPPER)
BZNEPCMICON,(BZNEPCMICON)
BZNET4,(BZNET4)
BZNRC,(BZNRC)
BZOMNITECH,(BZOMNITECH)
BZORBITCORP,(BZORBITCORP)
BZORCHIDPHAR,(BZORCHIDPHAR)
BZPANORAMUNI,(BZPANORAMUNI)
BZPARAL,PAREKH ALUM. LTD (BZPARAL)
BZPARAPRINT,(BZPARAPRINT)
BZPARASPETRO,(BZPARASPETRO)
BZPINCON,(BZPINCON)
BZPLETHICO,(BZPLETHICO)
BZPRATIBHA,(BZPRATIBHA)
BZPRITHVI,(BZPRITHVI)
BZRAJOIL,(BZRAJOIL)
BZRAMSARUP,(BZRAMSARUP)
BZRASOYPR,(BZRASOYPR)
BZREISIXTEN,(BZREISIXTEN)
BZRMMIL,(BZRMMIL)
BZSAMTEL,(BZSAMTEL)
BZSERVALL,(BZSERVALL)
BZSEZAL,(BZSEZAL)
BZSGJHL,(BZSGJHL)
BZSHARONBIO,(BZSHARONBIO)
BZSHILPI,(BZSHILPI)
BZSHLAKSHMI,(BZSHLAKSHMI)
BZSHRENUJ,(BZSHRENUJ)
BZSHRIASTER,(BZSHRIASTER)
BZSIMPLEX,(BZSIMPLEX)
BZSIRPAPER,(BZSIRPAPER)
BZSKUMARSYNF,(BZSKUMARSYNF)
BZSOFTTECHGR,(BZSOFTTECHGR)
BZSPECTACLE,(BZSPECTACLE)
BZSRSLTD,(BZSRSLTD)
BZSTERLINBIO,(BZSTERLINBIO)
BZSUDAR,(BZSUDAR)
BZSURANACORP,(BZSURANACORP)
BZSURANAIND,(BZSURANAIND)
BZSURYAJYOTI,(BZSURYAJYOTI)
BZSURYAPHARM,(BZSURYAPHARM)
BZSVOGL,(BZSVOGL)
BZTECPRO,(BZTECPRO)
BZTIMBOR,(BZTIMBOR)
BZTODAYS,(BZTODAYS)
BZTULIP,TULIP TELECOM LIMITED (BZTULIP)
BZTWILITAKA,(BZTWILITAKA)
BZUBENGG,(BZUBENGG)
BZUBHOLDINGS,(BZUBHOLDINGS)
BZUNITY,(BZUNITY)
BZVALECHAENG,(BZVALECHAENG)
BZVALUEIND,(BZVALUEIND)
BZVARUN,(BZVARUN)
BZVARUNSHIP,(BZVARUNSHIP)
BZVIDEOIND,(BZVIDEOIND)
BZVISUINTL,(BZVISUINTL)
BZVKSPL,(BZVKSPL)
BZZYLOG,(BZZYLOG)
CADILAHC,Cadila Healthcare Ltd. (EQCADILAHC)
CAIRN,Cairn India Ltd. (EQCAIRN)
CALSOFT,California Software Co. Ltd. (EQCALSOFT)
CAMLINFINE,Camlin Fine Sciences Ltd (EQCAMLINFINE)
CAMS,Computer Age Management Services Ltd. (EQCAMS)
CANBK,Canara Bank (EQCANBK)
