,Date,Open,High,Low,Close,Adj Close,Volume
2069,2005-06-10,6833.580078,6883.669922,6774.140137,6781.990234000001,6781.990234000001,10200.0
2070,2005-06-13,6790.330078,6843.620117,6757.040039,6832.680176000001,6832.680176000001,8400.0
2071,2005-06-14,6847.620117,6865.180176000001,6819.310059,6860.180176000001,6860.180176000001,9200.0
2072,2005-06-15,6876.790039,6916.330078,6858.080078,6906.97998,6906.97998,9800.0
2073,2005-06-16,6906.120117,6933.259765999999,6869.470215,6900.410156,6900.410156,12600.0
2074,2005-06-17,6913.069823999999,6921.600098000001,6855.549805,6906.52002,6906.52002,11000.0
2075,2005-06-20,6940.060059,7001.549805,6940.060059,6984.549805,6984.549805,24400.0
2076,2005-06-21,6985.910156,7083.580078,6967.950195,7076.52002,7076.52002,19000.0
2077,2005-06-22,7079.870117,7167.319823999999,7079.870117,7145.339844,7145.339844,37200.0
2078,2005-06-23,7142.910156,7156.549805,7090.47998,7119.759765999999,7119.759765999999,20800.0
2079,2005-06-24,7104.430176000001,7178.040039,7058.009765999999,7148.620117,7148.620117,15400.0
2080,2005-06-27,7136.390137,7228.209961,7133.939941,7151.080078,7151.080078,18400.0
2081,2005-06-28,7158.660156,7175.149901999999,7036.060059,7049.0,7049.0,17400.0
2082,2005-06-29,7059.370117,7125.209961,7034.47998,7119.879883,7119.879883,14200.0
2083,2005-06-30,7154.27002,7218.279785,7154.27002,7193.850098000001,7193.850098000001,28600.0
2084,2005-07-01,7165.450195,7228.569823999999,7154.930176000001,7210.77002,7210.77002,12600.0
2085,2005-07-04,7186.740234000001,7284.410156,7186.740234000001,7277.310059,7277.310059,9600.0
2086,2005-07-05,7275.0,7308.720215,7209.859863,7220.25,7220.25,12600.0
2087,2005-07-06,7227.220215,7296.180176000001,7227.220215,7287.600098000001,7287.600098000001,13400.0
2088,2005-07-07,7281.069823999999,7306.540039,7123.109863,7145.129883,7145.129883,16800.0
2089,2005-07-08,7171.52002,7240.390137,7158.140137,7212.080078,7212.080078,14600.0
2090,2005-07-11,7227.509765999999,7320.25,7227.509765999999,7306.740234000001,7306.740234000001,13400.0
2091,2005-07-12,7297.950195,7352.459961,7217.600098000001,7303.950195,7303.950195,17000.0
2092,2005-07-13,7303.189941,7338.009765999999,7236.779785,7247.910156,7247.910156,11600.0
2093,2005-07-14,7262.859863,7263.029785,7163.850098000001,7187.700195,7187.700195,13600.0
2094,2005-07-15,7192.450195,7283.040039,7178.089844,7271.540039,7271.540039,10400.0
2095,2005-07-18,7325.649901999999,7359.810059,7308.870117,7347.100098000001,7347.100098000001,17400.0
2096,2005-07-19,7348.600098000001,7385.689941,7317.850098000001,7346.629883,7346.629883,11000.0
2097,2005-07-20,7373.939941,7392.669922,7334.47998,7342.890137,7342.890137,9800.0
2098,2005-07-21,7345.97998,7380.689941,7275.589844,7304.319823999999,7304.319823999999,12600.0
2099,2005-07-22,7306.640137,7429.950195,7273.189941,7423.25,7423.25,12200.0
2100,2005-07-25,7427.649901999999,7526.879883,7427.649901999999,7505.600098000001,7505.600098000001,17200.0
2101,2005-07-26,7524.100098000001,7564.790039,7473.240234000001,7552.77002,7552.77002,20200.0
2102,2005-07-27,7559.759765999999,7620.370117,7504.959961,7605.029785,7605.029785,13200.0
2104,2005-07-29,7556.169922,7708.589844,7545.790039,7635.419922,7635.419922,21800.0
2105,2005-08-01,7632.009765999999,7681.109863,7596.740234000001,7669.450195,7669.450195,13800.0
2106,2005-08-02,7683.129883,7762.799805,7683.129883,7756.040039,7756.040039,19400.0
2107,2005-08-03,7774.290039,7843.77002,7740.830078,7756.470215,7756.470215,28600.0
2108,2005-08-04,7810.049805,7826.359863,7756.970215,7797.080078,7797.080078,23400.0
2109,2005-08-05,7806.109863,7817.609863,7738.640137,7754.0,7754.0,17400.0
2110,2005-08-08,7760.669922,7781.040039,7594.939941,7606.169922,7606.169922,16800.0
2111,2005-08-09,7617.459961,7686.850098000001,7559.799805,7595.569823999999,7595.569823999999,23200.0
2112,2005-08-10,7615.899901999999,7741.350098000001,7615.899901999999,7729.819823999999,7729.819823999999,14000.0
2113,2005-08-11,7749.009765999999,7842.549805,7727.5,7816.509765999999,7816.509765999999,27000.0
2114,2005-08-12,7835.700195,7861.259765999999,7755.580078,7767.490234000001,7767.490234000001,16800.0
2115,2005-08-16,7774.27002,7828.009765999999,7737.759765999999,7768.240234000001,7768.240234000001,11000.0
2116,2005-08-17,7771.779785,7870.620117,7735.370117,7859.529785,7859.529785,11200.0
2117,2005-08-18,7902.839844,7921.390137,7791.910156,7811.330078,7811.330078,13200.0
2118,2005-08-19,7817.740234000001,7867.890137,7760.689941,7780.759765999999,7780.759765999999,10600.0
2119,2005-08-22,7814.930176000001,7845.959961,7711.180176000001,7750.600098000001,7750.600098000001,16000.0
2120,2005-08-23,7764.859863,7770.830078,7601.339844,7615.990234000001,7615.990234000001,11000.0
2121,2005-08-24,7615.680176000001,7639.680176000001,7537.5,7612.0,7612.0,15000.0
2122,2005-08-25,7651.109863,7672.180176000001,7595.839844,7660.419922,7660.419922,10600.0
2123,2005-08-26,7701.069823999999,7732.310059,7644.410156,7680.220215,7680.220215,11800.0
2124,2005-08-29,7693.0,7699.560059,7566.209961,7634.430176000001,7634.430176000001,7600.0
2125,2005-08-30,7681.669922,7758.359863,7679.439941,7745.0,7745.0,9800.0
2126,2005-08-31,7746.799805,7807.669922,7726.97998,7805.430176000001,7805.430176000001,9600.0
2127,2005-09-01,7818.899901999999,7902.189941,7818.899901999999,7876.149901999999,7876.149901999999,11200.0
2128,2005-09-02,7888.109863,7928.069823999999,7836.339844,7899.77002,7899.77002,12600.0
